Country,"Fertility rate, total (births per woman)",Current health expenditure per capita (current US$),Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),"GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Incidence of tuberculosis (per 100,000 people)","Labor force, total",Net migration,Out-of-pocket expenditure per capita (current US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population growth (annual %),"Population, total",Prevalence of overweight (% of adults),Prevalence of hypertension (% of adults ages 30-79),Rural population,Sex ratio at birth (male births per female births),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, total (% of total labor force)",Urban population growth (annual %),Urban population
Singapore,1.14,2893.78222656,11.4,1512.06102848,1381.72116312,74750.0,97.0,96.0,96.0,96.0,97.0,42.0,3722265.0,20011.0,831.53683581,100.0,100.0,1.99449365639324,6036860.0,38.49,31.5,0.0,1.059,1.87,0.42,79.0,3.182,1.99449365639326,6036860.0
Antigua and Barbuda,1.468,808.14996338,11.6,472.28092501,335.49347709,21380.0,95.0,99.0,99.0,93.0,95.0,0.0,,9.0,196.09840022,98.3650387230105,97.3994801016802,0.487472101887911,93772.0,60.96,42.6,70950.0,1.032,8.51,1.2,,,0.509577627014595,22822.0
Slovak Republic,1.57,1342.07580566,7.1,1057.76821277,284.30761112,23900.0,97.0,97.0,97.0,96.0,97.0,4.5,2779407.0,-21027.0,257.1331659,99.7878178521954,97.5318448286994,-0.0861108401600769,5422069.0,59.09,42.7,2484826.0,1.053,10.48,0.27,94.0,5.234,0.181900387308457,2937243.0
Brunei Darussalam,1.819,677.82629395,13.7,640.49040236,37.33593166,36150.0,99.0,99.0,99.0,97.0,99.0,63.0,233520.0,0.0,37.33592746,99.9000453399775,95.8309192020188,0.81851878860359,462721.0,66.09,46.4,95140.0,1.082,0.41,4.1,75.0,5.144,1.18413884401508,367581.0
Sierra Leone,4.192,48.13619995,4.8,6.55219883,26.09004208,840.0,95.0,95.0,95.0,93.0,95.0,295.0,2863312.0,-11000.0,25.45915808,61.9298092529535,20.0997387688789,2.1226891332086,8642022.0,21.75,40.8,4772211.0,1.033,0.26,31.0,88.0,3.126,3.19814366026277,3869811.0
Tunisia,2.1,212.60031128,16.0,125.87926176,86.65806827,3900.0,98.0,98.0,98.0,98.0,98.0,35.0,4246885.0,-15221.0,75.63576989,96.1940901831773,96.3765731985838,0.626519256572759,12277109.0,56.0,34.7,3575094.0,1.056,2.01,1.2,90.0,16.203,1.10168916138058,8702015.0
Honduras,2.611,183.75006104,5.0,72.48589623,106.39773856,3020.0,88.0,88.0,88.0,89.0,88.0,31.0,4295619.0,-4821.0,96.14970545,94.6068475212683,81.952553182089,1.68469129774697,10825703.0,61.74,33.9,4241727.0,1.051,3.17,4.6,89.0,6.061,2.68609858085011,6583976.0
Botswana,2.906,438.28546143,4.6,313.07052014,83.29886009,7750.0,95.0,95.0,95.0,97.0,96.0,253.0,1173186.0,-5778.0,19.70491939,92.2214029742791,79.751688865621,1.63538411022867,2521139.0,40.48,44.1,668354.0,1.032,8.16,28.0,72.0,23.138,2.48675132598612,1852785.0
Syrian Arab Republic,2.878,50.25953293,19.0,26.77650125,21.01233605,970.0,67.0,67.0,67.0,76.0,70.0,19.0,6616919.0,546494.0,21.01233741,93.8729434874618,93.9559318319375,4.46809539676654,24672760.0,70.29,41.1,10351703.0,1.053,0.2,0.13,89.0,12.962,5.56812338133909,14321057.0
"Congo, Dem. Rep.",6.253,19.20812035,7.7,3.03834808,8.71191751,640.0,73.0,73.0,73.0,65.0,74.0,320.0,38546033.0,-26968.0,7.39455033,35.678057309253,16.4166624601584,3.24257627586721,109276265.0,19.96,34.3,56763556.0,1.021,2.12,49.0,92.0,4.556,4.52218796060245,52512709.0
Cote d'Ivoire,4.523,68.30471039,5.0,20.63144067,38.79444018,2510.0,79.0,79.0,79.0,71.0,79.0,137.0,12594667.0,7838.0,25.45065106,72.541058171011,34.7779674572536,2.43618201263834,31934230.0,32.63,37.3,14803432.0,1.03,2.8,21.0,84.0,2.288,3.36321639547342,17130798.0
Eritrea,3.997,28.42930794,4.4,4.53627948,13.20276213,,95.0,95.0,95.0,93.0,95.0,86.0,1709561.0,-12696.0,13.20276233,,,1.86168851424672,3535603.0,15.46,23.7,1983084.0,1.032,1.23,16.0,93.0,5.553,3.33915208683711,1552519.0
Burkina Faso,4.681,41.05052185,4.5,17.16469763,17.40057539,880.0,91.0,91.0,91.0,88.0,91.0,47.0,6461318.0,-25807.0,14.24188887,49.0028525018525,22.8240692453658,2.24597728439097,23548781.0,19.37,30.5,15738592.0,1.042,9.81,9.7,81.0,5.166,4.21298279764558,7810189.0
Palau,1.984,1924.65795898,19.3,905.04843578,698.4816681,16220.0,97.0,98.0,93.0,97.0,97.0,39.0,,-14.0,286.07617878,99.5515887428089,98.2917744262002,-0.180678723422048,17695.0,71.35,44.2,3037.0,1.078,,3.1,100.0,,0.341693765104579,14658.0
Hungary,1.55,1054.28076172,8.3,720.34193511,333.93884477,20690.0,99.0,,99.0,99.0,99.0,6.2,4953933.0,16223.0,292.9494072,100.0,97.9861353715644,-0.311906071341713,9562314.0,60.76,48.3,2564708.0,1.057,10.6,0.65,65.0,4.434,0.119483620823841,6997606.0
St. Vincent and the Grenadines,1.864,372.05615234,8.6,250.85019319,115.36615372,11020.0,97.0,98.0,98.0,99.0,99.0,4.2,52149.0,-737.0,104.51020779,,,-0.700214310937747,100616.0,59.76,39.3,45554.0,1.034,7.16,0.98,100.0,18.056,0.0817594682123322,55062.0
Seychelles,2.36,692.09197998,9.3,504.03373145,188.05820109,17460.0,99.0,99.0,99.0,99.0,99.0,14.0,,1747.0,173.44788484,96.2933996249077,100.0,1.31136094801067,121354.0,59.39,44.3,49461.0,1.036,11.99,0.87,57.0,,2.02756642018783,71893.0
Lao PDR,2.589,67.57865143,6.7,24.95913629,28.28676618,2000.0,80.0,80.0,80.0,83.0,80.0,155.0,3584797.0,-10284.0,28.26969177,85.099831820973,78.948092429375,1.35832703035837,7769819.0,28.22,28.5,4746893.0,1.053,11.52,27.0,90.0,1.218,3.06666541664422,3022926.0
Niger,6.537,31.89424324,4.1,11.38316508,15.64759629,660.0,81.0,81.0,81.0,79.0,81.0,84.0,10486041.0,-4041.0,14.70174376,47.3666848215679,14.7900382805354,3.28101480132484,27032412.0,16.91,41.5,22374187.0,1.04,0.13,16.0,83.0,0.355,4.31933743088246,4658225.0
Brazil,1.705,868.17248535,10.6,353.70026674,513.20573502,9950.0,70.0,72.0,72.0,91.0,85.0,46.0,106790403.0,-225510.0,215.999997,98.9355439518362,89.298795927984,0.405467027627251,211998573.0,59.91,45.0,25405909.0,1.045,7.67,2.5,69.0,7.634,0.664847024770479,186592664.0
"Bahamas, The",1.397,1941.60742188,8.9,1007.76237854,924.14217681,31630.0,89.0,89.0,89.0,83.0,89.0,15.0,237110.0,1018.0,518.97222615,98.8869604973405,94.9305823307593,0.460334786075668,401283.0,74.23,44.5,65152.0,1.028,4.39,0.58,75.0,8.463,0.626416816115178,336131.0
Morocco,2.342,177.84625244,11.9,72.03907914,104.49820851,3760.0,99.0,99.0,99.0,99.0,99.0,97.0,12475182.0,-46802.0,82.13205835,84.9818507597581,86.3282340120945,0.972827595296714,38081173.0,53.36,35.3,13083549.0,1.047,0.49,7.9,89.0,8.943,1.77121669466128,24997624.0
Belgium,1.6,5033.16601563,5.9,3787.68151297,1245.48456244,54840.0,97.0,97.0,97.0,96.0,98.0,9.0,5415520.0,36243.0,993.6971315,100.0,99.4861988308489,0.755750648123031,11876844.0,51.01,30.0,210933.0,1.046,10.28,0.29,81.0,5.488,0.79138569775605,11665911.0
Iraq,3.48,241.73873901,13.4,119.34751688,121.10375805,6030.0,84.0,84.0,84.0,86.0,85.0,28.0,12008181.0,-17735.0,121.10376351,97.7787852249274,97.8648532741405,2.12476784890538,46042015.0,71.67,48.1,12959446.0,1.057,0.24,2.1,94.0,15.524,2.47889459041468,33082569.0
Serbia,1.52,641.02966309,10.5,374.04771452,256.46750446,11570.0,97.0,94.0,97.0,87.0,97.0,14.0,3229504.0,-8132.0,237.40902764,94.9123598279511,97.8970216521443,-0.54473944514548,6587202.0,53.34,46.1,2808058.0,1.069,7.89,0.73,85.0,7.39,-0.0940247043453342,3779144.0
Benin,4.9,28.372015,8.1,3.52190993,16.50198928,1430.0,72.0,72.0,72.0,58.0,69.0,55.0,6397139.0,-7725.0,14.43934211,66.672267150753,18.6298545928192,2.46175361912328,14462724.0,28.53,31.2,7134606.0,1.04,8.35,7.8,89.0,1.722,3.59108680283364,7328118.0
Indonesia,2.205,118.22380829,11.3,57.41171538,60.14313629,4910.0,85.0,85.0,85.0,88.0,85.0,312.0,143143940.0,-38469.0,40.8463409,91.8137421547406,82.0727007179025,0.813871513351669,283487931.0,34.12,40.3,115651736.0,1.06,0.11,34.0,83.0,3.3,1.88710578487195,167836195.0
Israel,3.01,3335.24511719,10.1,2161.74439942,1126.22246109,52940.0,98.0,96.0,98.0,99.0,98.0,2.9,4709795.0,10612.0,712.28588454,99.9999972375092,99.9420152981856,1.26518834033156,9974400.0,54.6,29.1,703594.0,1.053,3.01,0.23,84.0,3.15,1.36422649318574,9270806.0
Bulgaria,1.79,697.8961792,7.4,412.84511231,285.05106225,15320.0,93.0,93.0,92.0,95.0,93.0,23.0,3123797.0,524.0,263.77360256,99.1448780003009,86.0247237413144,-0.0345978837303822,6444366.0,51.39,45.2,1479820.0,1.06,11.92,1.4,82.0,4.104,0.402497225743077,4964546.0
Kiribati,3.29,177.93025208,24.6,161.56135615,5.71032991,3620.0,97.0,97.0,97.0,94.0,94.0,414.0,,-471.0,1.12195386,73.7493673795618,44.0010104812494,1.48889841912877,134518.0,78.46,42.3,55895.0,1.072,0.76,37.0,92.0,,2.6694029018204,78623.0
Angola,5.442,64.61397552,4.9,29.33039764,32.73193872,2220.0,57.0,57.0,57.0,51.0,56.0,351.0,15960547.0,-2629.0,21.3595956,56.8830374949169,51.3936226824603,3.04419972245653,37885849.0,30.22,38.7,11638154.0,1.026,6.17,53.0,69.0,14.464,3.9038199496298,26247695.0
Ukraine,1.218,242.81388855,6.0,108.75746001,132.40623271,5220.0,80.0,76.0,80.0,93.0,78.0,77.0,21427188.0,1146012.0,124.12383718,93.5115778266462,97.7415991917121,0.33702862573394,37860221.0,54.93,43.1,11250543.0,1.066,8.7,8.4,79.0,8.194,0.606302347210976,26609678.0
Djibouti,2.798,68.27401733,6.5,36.38107497,20.42019334,3540.0,85.0,85.0,85.0,83.0,85.0,210.0,265171.0,-11.0,19.28325152,75.9957463626693,66.638239753157,1.3592172957681,1168722.0,27.49,34.2,248564.0,1.037,0.4,25.0,82.0,25.875,1.58803305903748,920158.0
"Venezuela, RB",2.131,112.7611084,8.6,41.87985935,70.75196984,,64.0,64.0,64.0,93.0,62.0,45.0,11135919.0,-105297.0,38.47580321,93.8628955693026,96.7597095990301,0.369232130679939,28405543.0,54.79,39.4,3265217.0,1.056,3.02,2.4,81.0,5.475,0.444964445346864,25140326.0
Equatorial Guinea,4.429,215.54243469,8.2,43.9841676,169.66716484,4740.0,62.0,62.0,62.0,51.0,63.0,286.0,714966.0,3891.0,164.61900705,,,2.40472649031131,1892516.0,37.73,38.1,475514.0,1.031,6.94,53.0,76.0,7.823,2.97529704287941,1417002.0
Uganda,4.744,33.36559677,2.2,5.04379338,14.3016351,1020.0,93.0,93.0,93.0,87.0,92.0,200.0,22829059.0,-117924.0,12.76577324,54.3266872423468,20.4080904532095,2.75373170025335,50015092.0,21.26,32.5,36316458.0,1.028,12.21,16.0,82.0,2.941,5.03595842729182,13698634.0
North Macedonia,1.34,469.47344971,7.4,282.84876871,186.62470339,8360.0,92.0,92.0,92.0,75.0,92.0,12.0,779211.0,-5728.0,183.50808028,97.7256237924336,97.8791714606684,-1.96896135535325,1792179.0,60.6,45.1,719237.0,1.08,4.62,0.44,89.0,13.417,-1.31708220597118,1072942.0
Mexico,2.02,549.72601318,16.4,270.28539045,279.44058975,12800.0,82.0,56.0,82.0,73.0,82.0,23.0,60958888.0,-104581.0,232.43619471,99.1153530172831,90.7765580654672,0.860515443690537,130861007.0,72.05,32.1,23735569.0,1.039,5.72,1.8,72.0,2.711,1.20314137259482,107125438.0
Nigeria,4.861,67.6254425,3.0,10.64177071,49.04002485,1250.0,66.0,66.0,66.0,58.0,66.0,219.0,113349564.0,-35202.0,48.35017884,74.7241263304551,43.27675278374,2.08297776184189,232679478.0,32.56,36.1,104635961.0,1.038,4.21,63.0,88.0,2.989,3.44971685567002,128043517.0
Mozambique,5.016,41.01906586,3.0,9.47888607,6.39308224,550.0,85.0,85.0,85.0,83.0,84.0,361.0,15172714.0,-38940.0,3.9829635,57.5753680766886,33.350311214661,2.91994049442347,34631766.0,24.59,38.6,21012478.0,1.02,2.03,19.0,94.0,3.527,4.38770545499138,13619288.0
Croatia,1.47,1040.08569336,10.5,848.11837236,191.87837091,22080.0,94.0,93.0,94.0,93.0,94.0,8.6,1733415.0,-5186.0,119.2433896,,96.1508301589796,0.1712144343961,3866300.0,62.38,48.4,1587309.0,1.06,8.54,0.91,24.0,5.236,0.800920268465332,2278991.0
Bosnia and Herzegovina,1.509,546.4508667,10.3,375.53892962,162.48425261,8630.0,73.0,80.0,65.0,65.0,74.0,27.0,1355710.0,-4497.0,160.39869304,96.1237006211931,,-0.655819991673837,3164253.0,55.87,44.2,1559724.0,1.068,6.38,2.8,32.0,10.723,0.213686426566387,1604529.0
Nauru,3.531,1213.86804199,21.8,1086.26205025,38.99612848,21260.0,96.0,96.0,96.0,95.0,96.0,169.0,,-121.0,9.74905454,97.003356247305,65.9320445778152,0.604485091438176,11947.0,88.91,41.8,0.0,1.072,2.94,15.0,94.0,,0.604485091438176,11947.0
Eswatini,2.925,320.05084229,7.9,167.95304845,77.66098297,3580.0,90.0,90.0,90.0,81.0,89.0,363.0,390566.0,-6754.0,29.49903937,70.4275345963468,64.5214314372907,0.995913343966098,1242822.0,54.53,42.5,931955.0,1.03,8.09,22.0,86.0,34.4,1.89156959316136,310867.0
St. Lucia,1.424,493.95703125,11.4,245.29783017,243.5333158,12800.0,92.0,92.0,92.0,96.0,91.0,3.9,102438.0,-7.0,211.66333843,96.8875059264097,83.3723216143083,0.255689791113258,179744.0,60.86,39.8,145043.0,1.031,9.47,0.98,67.0,10.928,0.949713250544823,34701.0
Argentina,1.882,1011.08013916,14.0,612.39601799,396.38448478,13440.0,83.0,83.0,83.0,86.0,83.0,29.0,22285744.0,3454.0,242.06773774,,,0.345829819817895,45696159.0,66.05,47.5,3391112.0,1.052,8.04,1.4,47.0,7.876,0.471206008710255,42305047.0
Monaco,2.403,7512.53173828,6.9,6473.9129789,1038.61859463,,99.0,99.0,99.0,88.0,99.0,0.0,,110.0,499.7400029,100.0,100.0,-0.837774113919638,38631.0,,,0.0,1.048,,0.0,,,-0.837774113919638,38631.0
Oman,2.696,730.08325195,17.0,639.17703908,90.90616016,19280.0,99.0,99.0,99.0,99.0,99.0,9.2,2695516.0,154219.0,43.5227944,91.8882639823975,99.3200376001363,4.49738628465102,5281538.0,63.94,45.6,581075.0,1.042,0.88,0.36,48.0,3.161,5.17157048090877,4700463.0
Afghanistan,5.238,74.0642395,11.7,2.48218497,56.89494105,520.0,65.0,65.0,65.0,57.0,71.0,189.0,9132918.0,-44089.0,56.89493912,73.7846429967308,51.0034810931108,2.83657317243522,42647492.0,43.77,40.2,31019653.0,1.053,0.016,26.0,91.0,13.295,4.06172661982306,11627839.0
Thailand,1.285,288.31097412,10.2,206.60111442,81.38162696,7120.0,97.0,97.0,,96.0,97.0,150.0,40623017.0,23321.0,24.99541798,99.9648313601704,98.4205237102314,-0.0480210554154485,71668011.0,42.58,29.2,32737947.0,1.064,7.85,14.0,85.0,0.693,1.27139821676828,38930064.0
Jamaica,1.39,341.90777588,12.5,223.090646,113.37266563,6490.0,96.0,96.0,96.0,94.0,96.0,3.2,1570210.0,-10506.0,56.2077952,90.997352554366,86.6316041352183,-0.0215180207209529,2839175.0,59.08,46.3,1199211.0,1.04,3.6,0.24,66.0,4.885,0.645507683426489,1639964.0
Malaysia,1.777,419.32568359,21.1,219.4521194,199.87356525,11670.0,98.0,97.0,98.0,97.0,98.0,92.0,18264000.0,174770.0,151.2199859,97.0903674239334,95.8802336493616,1.22058891015438,35557673.0,52.41,40.8,7395640.0,1.067,0.76,5.1,80.0,3.826,1.83483804898449,28162033.0
India,2.12,60.6913681,10.5,21.28210144,39.07150655,2650.0,91.0,91.0,91.0,95.0,90.0,202.0,607691498.0,-630830.0,31.56206614,91.5622211412629,69.6631460883283,0.890706546985984,1450935791.0,26.47,31.1,916019293.0,1.082,4.92,23.0,84.0,4.202,2.26446328423312,534916498.0
Peru,2.086,367.98739624,6.4,232.74947163,134.51176423,7490.0,88.0,88.0,88.0,85.0,87.0,119.0,18917570.0,18406.0,104.31702447,93.0032366873463,76.7094387871209,1.0937871324756,34217848.0,64.73,20.7,7138185.0,1.041,7.45,7.3,83.0,4.828,1.36836527702128,27079663.0
Georgia,2.021,306.46075439,6.7,125.08383912,179.75812933,8200.0,94.0,94.0,94.0,99.0,94.0,74.0,1832929.0,1745.0,143.32480396,94.4360269319349,86.5320783368937,-1.1268524654221,3673850.0,63.72,44.5,1426850.0,1.07,14.33,3.8,85.0,11.48,-0.413075351851438,2247000.0
Puerto Rico (US),0.982,,10.9,,,25930.0,,,,,,1.3,1151595.0,11561.0,,100.0,100.0,-0.0155140706220036,3203295.0,72.13,42.6,202961.0,1.053,,0.16,83.0,5.472,0.0164995243011451,3000334.0
Myanmar,2.206,53.72147369,6.7,8.57371805,41.16816006,1220.0,90.0,90.0,90.0,84.0,90.0,322.0,22741699.0,-37979.0,41.13124356,78.9093353384479,73.1653187541976,0.674364862610485,54500091.0,25.27,37.8,36803911.0,1.067,2.12,36.0,88.0,3.032,1.78304805428229,17696180.0
Ghana,3.593,71.14958191,2.7,43.11295258,21.84474278,2320.0,97.0,97.0,97.0,92.0,97.0,144.0,13927871.0,-13114.0,20.61690832,85.2423371017475,24.9960729195517,1.87500010333119,34427414.0,34.98,33.9,13821230.0,1.038,4.55,34.0,84.0,3.007,2.90950432191863,20606184.0
Haiti,2.862,49.32995987,8.5,5.13920596,23.34536491,1760.0,51.0,51.0,51.0,65.0,51.0,170.0,5281030.0,-31747.0,19.25757359,66.3209862141568,36.9385275856622,1.15472671204546,11772557.0,28.88,42.9,4653456.0,1.03,3.45,8.9,84.0,15.058,2.51330530909527,7119101.0
Philippines,2.215,141.6925354,7.5,57.53314736,83.58426517,4470.0,84.0,82.0,84.0,83.0,85.0,554.0,50979290.0,-160373.0,69.12736773,93.6373567501473,81.2510265893959,0.825602488528657,115843670.0,32.62,33.8,59527428.0,1.08,6.18,27.0,86.0,2.153,1.50052162940451,56316242.0
West Bank and Gaza,3.591,317.45007324,15.5,126.55153328,153.53097593,3080.0,99.0,99.0,99.0,99.0,99.0,0.53,1254446.0,-23145.0,122.84229516,97.5865067324122,98.153109880908,2.36027908447521,5289152.0,68.62,39.1,1170119.0,1.051,,0.06,86.0,25.34,2.73979221618127,4119033.0
Libya,2.539,552.73168945,15.8,394.07827253,154.85971876,6310.0,73.0,73.0,73.0,73.0,73.0,59.0,2584879.0,3448.0,154.85970248,99.8915237987819,92.1060022089555,1.02629935747641,7381023.0,66.71,42.7,1335448.0,1.057,0.008,12.0,70.0,18.615,1.39447574815819,6045575.0
Ethiopia,4.347,25.93511963,4.4,5.84531137,11.18534024,820.0,68.0,68.0,68.0,57.0,69.0,140.0,54470278.0,30069.0,9.80851022,47.2539785569372,8.65203916056794,2.58350411214521,132059767.0,9.76,27.4,100813106.0,1.056,3.36,19.0,90.0,3.398,4.73660424393762,31246661.0
Ireland,1.71,5462.73095703,3.6,4056.01129784,1406.71928415,77920.0,94.0,93.0,94.0,91.0,94.0,5.8,2856577.0,39059.0,662.77266951,96.0041044843285,89.3073908166857,1.35963868693502,5380257.0,64.19,32.3,1896003.0,1.054,11.7,0.14,4.0,4.369,1.81465598926847,3484254.0
Mali,5.892,31.4089489,4.8,9.18026044,17.20937229,1020.0,77.0,77.0,77.0,71.0,70.0,52.0,9126488.0,-46880.0,9.76166136,79.2797151051117,44.7976967244774,2.94115084753028,24478595.0,30.79,34.6,12989811.0,1.033,4.35,7.6,82.0,3.06,4.54122192381047,11488784.0
